3.521	0.000
11.521	2.000
19.521	1.000
27.521	1.000
35.522	3.000
43.522	8.000
51.522	8.000
59.522	14.000
67.522	14.000
75.522	16.000
83.523	32.000
91.523	43.000
99.523	56.000
107.523	75.000
115.523	101.000
123.523	135.000
131.524	186.000
139.524	269.000
147.524	376.000
155.524	488.000
163.524	605.000
171.524	798.000
179.525	979.000
187.525	1191.000
195.525	1512.000
203.525	1820.000
211.525	2281.000
219.525	2732.000
227.526	3177.000
235.526	3856.000
243.526	4431.000
251.526	5138.000
259.526	5809.000
267.526	6373.000
275.527	7270.000
283.527	7991.000
291.527	8667.000
299.527	9412.000
307.527	10235.000
315.527	10884.000
323.528	11409.000
331.528	11764.000
339.528	12071.000
347.528	12255.000
355.528	12191.000
363.528	11918.000
371.529	11531.000
379.529	11077.000
387.529	10419.000
395.529	9589.000
403.529	9208.000
411.529	8507.000
419.530	7579.000
427.530	6950.000
435.530	6342.000
443.530	5760.000
451.530	5253.000
459.530	5041.000
467.531	4786.000
475.531	4377.000
483.531	4211.000
491.531	4303.000
499.531	4376.000
507.531	4451.000
515.532	4780.000
523.532	5054.000
531.532	5611.000
539.532	6199.000
547.532	6745.000
555.532	7547.000
563.533	8253.000
571.533	9160.000
579.533	9851.000
587.533	10827.000
595.533	11770.000
603.533	12718.000
611.534	13398.000
619.534	14401.000
627.534	15131.000
635.534	15936.000
643.534	16461.000
651.534	17045.000
659.535	17200.000
667.535	17294.000
675.535	17236.000
683.535	17030.000
691.535	16530.000
699.535	15893.000
707.536	15086.000
715.536	14217.000
723.536	13201.000
731.536	12402.000
739.536	11222.000
747.536	10465.000
755.537	9277.000
763.537	8555.000
771.537	7828.000
779.537	7147.000
787.537	6681.000
795.537	6253.000
803.538	5804.000
811.538	5661.000
819.538	5428.000
827.538	5545.000
835.538	5554.000
843.538	5757.000
851.539	5963.000
859.539	6009.000
867.539	6519.000
875.539	6817.000
883.539	7376.000
891.539	7696.000
899.540	8456.000
907.540	9112.000
915.540	9582.000
923.540	10267.000
931.540	10724.000
939.540	11212.000
947.541	12000.000
955.541	12531.000
963.541	12919.000
971.541	13084.000
979.541	13522.000
987.541	13598.000
995.542	13506.000
1003.542	13514.000
1011.542	13219.000
1019.542	12722.000
1027.542	12589.000
1035.542	11629.000
1043.543	11058.000
1051.543	10249.000
1059.543	9808.000
1067.543	9043.000
1075.543	8188.000
1083.543	7604.000
1091.544	7179.000
1099.544	6420.000
1107.544	5857.000
1115.544	5449.000
1123.544	5096.000
1131.544	4860.000
1139.545	4595.000
1147.545	4591.000
1155.545	4435.000
1163.545	4322.000
1171.545	4432.000
1179.545	4390.000
1187.546	4620.000
1195.546	4800.000
1203.546	4795.000
1211.546	5072.000
1219.546	5440.000
1227.546	5759.000
1235.547	6064.000
1243.547	6377.000
1251.547	6663.000
1259.547	6895.000
1267.547	7008.000
1275.547	7477.000
1283.548	7783.000
1291.548	7915.000
1299.548	8037.000
1307.548	8094.000
1315.548	8176.000
1323.548	7970.000
1331.549	7924.000
1339.549	7697.000
1347.549	7617.000
1355.549	7190.000
1363.549	7050.000
1371.549	6550.000
1379.550	6158.000
1387.550	5692.000
1395.550	5292.000
1403.550	4875.000
1411.550	4425.000
